location_type,time_of_day,day_of_week,num_suspects,weapon_involved,known_offender,prior_incidents,suspect_age,officer_on_scene,crime_type,latitude,longitude,description,date
Commercial,Afternoon,Monday,3,None,No,1,58,Yes,Theft,28.6094316012526,77.21276769390792,Type: Theft | Location: Commercial | Time: Afternoon | Weapon: None | Suspects: 3,2016-04-12
Commercial,Afternoon,Wednesday,1,None,No,9,39,Yes,Robbery,28.609633004420537,77.20954412113228,Type: Robbery | Location: Commercial | Time: Afternoon | Weapon: None | Suspects: 1,2022-02-17
Alley,Night,Saturday,2,Gun,Yes,1,41,Yes,Burglary,28.60471511580999,77.2030841094654,Type: Burglary | Location: Alley | Time: Night | Weapon: Gun | Suspects: 2,2020-02-10
Park,Morning,Monday,3,Blunt Object,No,10,21,Yes,Homicide,28.570592492677445,77.20744679351758,Type: Homicide | Location: Park | Time: Morning | Weapon: Blunt Object | Suspects: 3,2024-10-02
Park,Morning,Monday,5,Blunt Object,Yes,3,48,Yes,Vandalism,28.568884270773022,77.20759127300747,Type: Vandalism | Location: Park | Time: Morning | Weapon: Blunt Object | Suspects: 5,2019-03-31
Parking Lot,Night,Sunday,1,Gun,Yes,5,57,No,Burglary,28.60134196760475,77.19774433388186,Type: Burglary | Location: Parking Lot | Time: Night | Weapon: Gun | Suspects: 1,2020-08-07
Residential,Morning,Tuesday,1,Blunt Object,No,8,60,No,Homicide,28.62480734425285,77.202535465939,Type: Homicide | Location: Residential | Time: Morning | Weapon: Blunt Object | Suspects: 1,2017-10-02
Parking Lot,Morning,Friday,5,Knife,No,2,22,Yes,Homicide,28.596771911035702,77.19657431561527,Type: Homicide | Location: Parking Lot | Time: Morning | Weapon: Knife | Suspects: 5,2020-02-27
Street,Afternoon,Tuesday,3,Knife,Yes,9,49,Yes,Theft,28.614391768530663,77.23068194673571,Type: Theft | Location: Street | Time: Afternoon | Weapon: Knife | Suspects: 3,2023-05-29
Park,Night,Monday,2,Blunt Object,Yes,4,49,Yes,Robbery,28.57081877418236,77.21331319733534,Type: Robbery | Location: Park | Time: Night | Weapon: Blunt Object | Suspects: 2,2024-07-07
Residential,Night,Thursday,3,Knife,No,8,19,No,Robbery,28.62031911140512,77.19773796354286,Type: Robbery | Location: Residential | Time: Night | Weapon: Knife | Suspects: 3,2017-11-14
Alley,Night,Wednesday,3,Gun,Yes,4,43,No,Theft,28.59578276039433,77.19887065117274,Type: Theft | Location: Alley | Time: Night | Weapon: Gun | Suspects: 3,2021-04-22
Park,Morning,Thursday,3,Knife,No,6,51,No,Assault,28.56646946009717,77.21000825210767,Type: Assault | Location: Park | Time: Morning | Weapon: Knife | Suspects: 3,2023-02-17
Commercial,Night,Friday,3,None,Yes,5,35,Yes,Burglary,28.610942025369628,77.2069751891279,Type: Burglary | Location: Commercial | Time: Night | Weapon: None | Suspects: 3,2022-12-12
Commercial,Night,Friday,4,None,Yes,0,48,No,Homicide,28.61295752217242,77.20511450673298,Type: Homicide | Location: Commercial | Time: Night | Weapon: None | Suspects: 4,2020-06-12
Street,Night,Friday,3,Gun,No,0,55,Yes,Vandalism,28.60722434756784,77.2259475690479,Type: Vandalism | Location: Street | Time: Night | Weapon: Gun | Suspects: 3,2019-03-19
Park,Night,Tuesday,2,Blunt Object,No,6,32,No,Burglary,28.5716800290422,77.211982652257,Type: Burglary | Location: Park | Time: Night | Weapon: Blunt Object | Suspects: 2,2018-01-29
Commercial,Morning,Saturday,3,Blunt Object,No,10,47,Yes,Burglary,28.609580147174302,77.20925746460392,Type: Burglary | Location: Commercial | Time: Morning | Weapon: Blunt Object | Suspects: 3,2019-11-26
Alley,Night,Tuesday,4,Blunt Object,Yes,6,58,No,Assault,28.60451220240626,77.20025742303316,Type: Assault | Location: Alley | Time: Night | Weapon: Blunt Object | Suspects: 4,2016-12-29
Commercial,Evening,Thursday,2,None,Yes,3,42,No,Vandalism,28.613745235464933,77.20712669487698,Type: Vandalism | Location: Commercial | Time: Evening | Weapon: None | Suspects: 2,2017-01-11
Commercial,Night,Sunday,1,Gun,No,10,46,Yes,Homicide,28.610566816114947,77.20550013650842,Type: Homicide | Location: Commercial | Time: Night | Weapon: Gun | Suspects: 1,2023-05-03
Parking Lot,Night,Monday,2,None,Yes,4,25,No,Robbery,28.60448916866413,77.19643547569508,Type: Robbery | Location: Parking Lot | Time: Night | Weapon: None | Suspects: 2,2023-12-03
Street,Night,Wednesday,4,Blunt Object,No,0,38,No,Theft,28.614813875662765,77.22687178402467,Type: Theft | Location: Street | Time: Night | Weapon: Blunt Object | Suspects: 4,2021-03-16
Parking Lot,Afternoon,Thursday,1,Blunt Object,No,2,47,No,Assault,28.598455839205567,77.2007084727714,Type: Assault | Location: Parking Lot | Time: Afternoon | Weapon: Blunt Object | Suspects: 1,2017-06-20
Park,Morning,Sunday,5,None,Yes,6,46,Yes,Burglary,28.564228018174795,77.21397829631545,Type: Burglary | Location: Park | Time: Morning | Weapon: None | Suspects: 5,2024-07-30
Commercial,Morning,Sunday,5,None,No,8,32,Yes,Theft,28.61790598021497,77.206488260273,Type: Theft | Location: Commercial | Time: Morning | Weapon: None | Suspects: 5,2019-07-22
Alley,Morning,Wednesday,5,None,Yes,10,57,Yes,Burglary,28.59998959596861,77.1957440825608,Type: Burglary | Location: Alley | Time: Morning | Weapon: None | Suspects: 5,2019-06-24
Parking Lot,Afternoon,Friday,2,None,Yes,4,32,No,Assault,28.600269747015684,77.19894895327887,Type: Assault | Location: Parking Lot | Time: Afternoon | Weapon: None | Suspects: 2,2018-12-11
Park,Night,Monday,1,Knife,Yes,7,55,Yes,Homicide,28.570781781963404,77.21000170600799,Type: Homicide | Location: Park | Time: Night | Weapon: Knife | Suspects: 1,2021-04-14
Residential,Afternoon,Friday,3,Blunt Object,Yes,2,22,Yes,Assault,28.615656799414875,77.19989994751137,Type: Assault | Location: Residential | Time: Afternoon | Weapon: Blunt Object | Suspects: 3,2023-02-26
Alley,Morning,Tuesday,5,Gun,No,7,48,No,Robbery,28.595411193870166,77.20197206867925,Type: Robbery | Location: Alley | Time: Morning | Weapon: Gun | Suspects: 5,2018-01-07
Residential,Evening,Wednesday,5,Knife,Yes,0,28,No,Vandalism,28.62022139055603,77.20061212910387,Type: Vandalism | Location: Residential | Time: Evening | Weapon: Knife | Suspects: 5,2022-03-04
Parking Lot,Afternoon,Friday,5,Knife,Yes,8,28,Yes,Assault,28.60466308589288,77.19814228595872,Type: Assault | Location: Parking Lot | Time: Afternoon | Weapon: Knife | Suspects: 5,2017-06-05
Commercial,Morning,Sunday,2,Gun,No,0,44,No,Robbery,28.6100292187133,77.20406066352082,Type: Robbery | Location: Commercial | Time: Morning | Weapon: Gun | Suspects: 2,2019-12-22
Park,Evening,Saturday,3,Blunt Object,Yes,1,37,Yes,Vandalism,28.56336590887902,77.20842259835601,Type: Vandalism | Location: Park | Time: Evening | Weapon: Blunt Object | Suspects: 3,2017-03-14
Alley,Evening,Friday,5,Knife,Yes,3,42,No,Homicide,28.60107132101837,77.19856691445736,Type: Homicide | Location: Alley | Time: Evening | Weapon: Knife | Suspects: 5,2022-08-13
Park,Night,Wednesday,5,Knife,Yes,0,39,No,Homicide,28.572168805245628,77.2066022392446,Type: Homicide | Location: Park | Time: Night | Weapon: Knife | Suspects: 5,2019-08-29
Street,Morning,Friday,1,Knife,No,9,29,Yes,Burglary,28.606359420251305,77.22624511476698,Type: Burglary | Location: Street | Time: Morning | Weapon: Knife | Suspects: 1,2017-11-06
Commercial,Afternoon,Sunday,3,Knife,Yes,6,44,Yes,Robbery,28.615138478081207,77.20643378973377,Type: Robbery | Location: Commercial | Time: Afternoon | Weapon: Knife | Suspects: 3,2017-08-15
Residential,Afternoon,Monday,2,None,No,3,22,Yes,Burglary,28.61774901932792,77.20018457571156,Type: Burglary | Location: Residential | Time: Afternoon | Weapon: None | Suspects: 2,2019-11-01
Residential,Night,Saturday,4,None,No,7,42,Yes,Assault,28.61903423932517,77.19928307676086,Type: Assault | Location: Residential | Time: Night | Weapon: None | Suspects: 4,2024-08-18
Alley,Morning,Wednesday,3,Blunt Object,Yes,7,38,No,Homicide,28.604508109194523,77.20259105420394,Type: Homicide | Location: Alley | Time: Morning | Weapon: Blunt Object | Suspects: 3,2017-09-16
Street,Night,Thursday,1,Blunt Object,Yes,10,39,No,Assault,28.60710428157232,77.2345098045731,Type: Assault | Location: Street | Time: Night | Weapon: Blunt Object | Suspects: 1,2018-07-12
Parking Lot,Afternoon,Tuesday,4,None,No,6,42,No,Robbery,28.60098423372421,77.20028109132328,Type: Robbery | Location: Parking Lot | Time: Afternoon | Weapon: None | Suspects: 4,2015-12-14
Residential,Afternoon,Wednesday,5,Gun,No,7,28,No,Robbery,28.61673681098864,77.20126245280566,Type: Robbery | Location: Residential | Time: Afternoon | Weapon: Gun | Suspects: 5,2015-09-17
Commercial,Afternoon,Friday,3,Knife,No,5,45,Yes,Theft,28.618111272239613,77.21004248545268,Type: Theft | Location: Commercial | Time: Afternoon | Weapon: Knife | Suspects: 3,2018-01-31
Street,Night,Monday,3,Gun,Yes,8,59,No,Homicide,28.60933288462784,77.23262583501712,Type: Homicide | Location: Street | Time: Night | Weapon: Gun | Suspects: 3,2020-08-19
Street,Morning,Friday,4,Blunt Object,Yes,0,49,No,Robbery,28.60701612872693,77.22638824904631,Type: Robbery | Location: Street | Time: Morning | Weapon: Blunt Object | Suspects: 4,2019-12-02
Alley,Afternoon,Sunday,3,Knife,Yes,8,49,No,Vandalism,28.604747114402844,77.20388203230691,Type: Vandalism | Location: Alley | Time: Afternoon | Weapon: Knife | Suspects: 3,2015-11-29
Alley,Evening,Monday,4,Knife,No,9,32,Yes,Vandalism,28.601076008478007,77.1952627286566,Type: Vandalism | Location: Alley | Time: Evening | Weapon: Knife | Suspects: 4,2023-02-16
Park,Afternoon,Saturday,4,Gun,No,10,41,No,Vandalism,28.5698280570344,77.21373743091891,Type: Vandalism | Location: Park | Time: Afternoon | Weapon: Gun | Suspects: 4,2018-06-28
Alley,Night,Sunday,1,None,No,1,30,Yes,Vandalism,28.59576531985624,77.20457870006513,Type: Vandalism | Location: Alley | Time: Night | Weapon: None | Suspects: 1,2019-10-29
Residential,Afternoon,Saturday,5,Blunt Object,Yes,5,17,Yes,Vandalism,28.615327371136047,77.20332747796965,Type: Vandalism | Location: Residential | Time: Afternoon | Weapon: Blunt Object | Suspects: 5,2019-11-07
Street,Morning,Friday,1,Gun,Yes,1,42,Yes,Vandalism,28.61019850059863,77.23181360209824,Type: Vandalism | Location: Street | Time: Morning | Weapon: Gun | Suspects: 1,2020-05-24
Parking Lot,Afternoon,Monday,4,Knife,Yes,8,17,Yes,Theft,28.60405531466641,77.19618997920871,Type: Theft | Location: Parking Lot | Time: Afternoon | Weapon: Knife | Suspects: 4,2018-05-24
Residential,Morning,Monday,3,Blunt Object,No,4,55,Yes,Homicide,28.62138735254497,77.20251180356021,Type: Homicide | Location: Residential | Time: Morning | Weapon: Blunt Object | Suspects: 3,2020-02-21
Alley,Afternoon,Monday,3,Knife,No,1,20,No,Robbery,28.603705166446137,77.19733326975123,Type: Robbery | Location: Alley | Time: Afternoon | Weapon: Knife | Suspects: 3,2017-12-15
Residential,Night,Wednesday,3,Knife,No,1,47,Yes,Assault,28.62344518591469,77.203065536076,Type: Assault | Location: Residential | Time: Night | Weapon: Knife | Suspects: 3,2016-10-15
Parking Lot,Morning,Wednesday,2,Knife,Yes,6,53,No,Burglary,28.59764480346748,77.19820020087084,Type: Burglary | Location: Parking Lot | Time: Morning | Weapon: Knife | Suspects: 2,2017-10-03
Alley,Evening,Saturday,2,Knife,Yes,4,39,Yes,Assault,28.597411130115496,77.19926652151102,Type: Assault | Location: Alley | Time: Evening | Weapon: Knife | Suspects: 2,2021-07-23
Residential,Evening,Monday,5,Knife,Yes,4,31,No,Vandalism,28.617751225823323,77.1950993538917,Type: Vandalism | Location: Residential | Time: Evening | Weapon: Knife | Suspects: 5,2024-06-17
Parking Lot,Afternoon,Thursday,2,Gun,Yes,5,32,No,Theft,28.60094223643884,77.19677761753172,Type: Theft | Location: Parking Lot | Time: Afternoon | Weapon: Gun | Suspects: 2,2021-05-24
Park,Afternoon,Wednesday,3,Gun,No,7,53,No,Vandalism,28.57066872383136,77.212145431724,Type: Vandalism | Location: Park | Time: Afternoon | Weapon: Gun | Suspects: 3,2015-09-17
Park,Night,Monday,4,None,Yes,2,48,Yes,Burglary,28.563861400456567,77.20636393056964,Type: Burglary | Location: Park | Time: Night | Weapon: None | Suspects: 4,2017-07-18
Residential,Evening,Monday,1,Gun,Yes,7,54,Yes,Homicide,28.615774129793227,77.19565948182911,Type: Homicide | Location: Residential | Time: Evening | Weapon: Gun | Suspects: 1,2024-05-03
Parking Lot,Afternoon,Friday,4,None,Yes,5,34,No,Assault,28.60079900691793,77.19975700882695,Type: Assault | Location: Parking Lot | Time: Afternoon | Weapon: None | Suspects: 4,2017-02-24
Street,Evening,Thursday,1,Gun,No,10,28,No,Robbery,28.609045563552627,77.23352903277541,Type: Robbery | Location: Street | Time: Evening | Weapon: Gun | Suspects: 1,2018-10-28
Alley,Afternoon,Sunday,3,Gun,No,6,25,Yes,Burglary,28.59985243002512,77.1990820200861,Type: Burglary | Location: Alley | Time: Afternoon | Weapon: Gun | Suspects: 3,2018-08-06
Park,Evening,Tuesday,4,Blunt Object,No,2,23,No,Burglary,28.568860705421,77.21362829697696,Type: Burglary | Location: Park | Time: Evening | Weapon: Blunt Object | Suspects: 4,2021-11-01
Park,Evening,Tuesday,1,None,No,9,22,Yes,Vandalism,28.5665519900169,77.2116593769375,Type: Vandalism | Location: Park | Time: Evening | Weapon: None | Suspects: 1,2015-09-01
Street,Night,Friday,4,Blunt Object,No,4,35,Yes,Vandalism,28.61239409947052,77.22886234654733,Type: Vandalism | Location: Street | Time: Night | Weapon: Blunt Object | Suspects: 4,2024-02-18
Alley,Morning,Wednesday,5,Blunt Object,Yes,6,25,Yes,Homicide,28.604859990314534,77.19773016164577,Type: Homicide | Location: Alley | Time: Morning | Weapon: Blunt Object | Suspects: 5,2022-06-03
Park,Morning,Tuesday,1,Gun,No,4,28,No,Vandalism,28.56441368498706,77.21099888780739,Type: Vandalism | Location: Park | Time: Morning | Weapon: Gun | Suspects: 1,2017-02-07
Residential,Night,Tuesday,3,Gun,No,6,41,Yes,Robbery,28.623731498301183,77.20014654638187,Type: Robbery | Location: Residential | Time: Night | Weapon: Gun | Suspects: 3,2021-01-10
Alley,Evening,Tuesday,2,None,No,1,34,No,Homicide,28.59599969609018,77.19607895285282,Type: Homicide | Location: Alley | Time: Evening | Weapon: None | Suspects: 2,2016-09-09
Residential,Morning,Tuesday,2,Gun,No,4,52,Yes,Burglary,28.617061627215364,77.19904861602215,Type: Burglary | Location: Residential | Time: Morning | Weapon: Gun | Suspects: 2,2018-09-03
Street,Afternoon,Tuesday,5,Blunt Object,No,7,54,Yes,Burglary,28.6076562342605,77.23251932977486,Type: Burglary | Location: Street | Time: Afternoon | Weapon: Blunt Object | Suspects: 5,2020-03-08
Alley,Afternoon,Monday,2,Blunt Object,Yes,3,58,Yes,Robbery,28.59920539809495,77.19750098073449,Type: Robbery | Location: Alley | Time: Afternoon | Weapon: Blunt Object | Suspects: 2,2023-02-05
Commercial,Night,Thursday,2,Blunt Object,No,5,48,Yes,Burglary,28.61467976717788,77.21106206926329,Type: Burglary | Location: Commercial | Time: Night | Weapon: Blunt Object | Suspects: 2,2015-05-04
Park,Night,Saturday,1,Blunt Object,No,6,56,No,Vandalism,28.564081073090342,77.21251417300576,Type: Vandalism | Location: Park | Time: Night | Weapon: Blunt Object | Suspects: 1,2022-10-27
Commercial,Afternoon,Sunday,3,Blunt Object,No,1,22,Yes,Theft,28.61757003019164,77.21008497359806,Type: Theft | Location: Commercial | Time: Afternoon | Weapon: Blunt Object | Suspects: 3,2020-06-11
Commercial,Morning,Thursday,3,Gun,Yes,7,44,Yes,Robbery,28.61549262292574,77.21242384707152,Type: Robbery | Location: Commercial | Time: Morning | Weapon: Gun | Suspects: 3,2023-09-20
Park,Afternoon,Saturday,5,Gun,Yes,4,29,No,Robbery,28.563296813931064,77.20909604606629,Type: Robbery | Location: Park | Time: Afternoon | Weapon: Gun | Suspects: 5,2023-11-09
Park,Night,Monday,1,Knife,No,7,18,No,Robbery,28.563489250688143,77.21160960112859,Type: Robbery | Location: Park | Time: Night | Weapon: Knife | Suspects: 1,2020-11-17
Residential,Morning,Saturday,2,None,No,8,29,No,Theft,28.62179049034211,77.20426027676757,Type: Theft | Location: Residential | Time: Morning | Weapon: None | Suspects: 2,2021-11-14
Alley,Evening,Wednesday,3,Blunt Object,Yes,2,34,Yes,Theft,28.5977546130102,77.19939433189812,Type: Theft | Location: Alley | Time: Evening | Weapon: Blunt Object | Suspects: 3,2017-07-20
Parking Lot,Morning,Tuesday,4,Gun,Yes,1,48,Yes,Homicide,28.6008027646862,77.20421919080057,Type: Homicide | Location: Parking Lot | Time: Morning | Weapon: Gun | Suspects: 4,2016-05-19
Parking Lot,Morning,Thursday,4,Knife,Yes,3,40,Yes,Homicide,28.595790269412625,77.2037691528548,Type: Homicide | Location: Parking Lot | Time: Morning | Weapon: Knife | Suspects: 4,2019-10-17
Park,Morning,Thursday,3,Blunt Object,Yes,1,26,No,Homicide,28.56642093718185,77.20881767694769,Type: Homicide | Location: Park | Time: Morning | Weapon: Blunt Object | Suspects: 3,2023-12-10
Street,Morning,Monday,3,Gun,No,9,50,No,Burglary,28.609612446620208,77.22777385536632,Type: Burglary | Location: Street | Time: Morning | Weapon: Gun | Suspects: 3,2015-11-12
Commercial,Afternoon,Wednesday,1,Blunt Object,Yes,5,48,Yes,Homicide,28.60948194082097,77.21332825329182,Type: Homicide | Location: Commercial | Time: Afternoon | Weapon: Blunt Object | Suspects: 1,2015-02-02
Alley,Evening,Sunday,1,Gun,Yes,2,58,No,Homicide,28.5950735011039,77.20203147173383,Type: Homicide | Location: Alley | Time: Evening | Weapon: Gun | Suspects: 1,2021-03-17
Street,Afternoon,Sunday,3,None,No,3,60,Yes,Robbery,28.612560941588168,77.22551900066613,Type: Robbery | Location: Street | Time: Afternoon | Weapon: None | Suspects: 3,2016-03-24
Parking Lot,Afternoon,Tuesday,5,Knife,Yes,6,20,No,Burglary,28.602950293560248,77.20169727590978,Type: Burglary | Location: Parking Lot | Time: Afternoon | Weapon: Knife | Suspects: 5,2024-02-13
Park,Night,Saturday,3,None,No,9,51,No,Theft,28.56313495384397,77.20608525698125,Type: Theft | Location: Park | Time: Night | Weapon: None | Suspects: 3,2017-05-13
Alley,Morning,Sunday,3,Knife,No,0,48,No,Assault,28.595641890246167,77.20268840178606,Type: Assault | Location: Alley | Time: Morning | Weapon: Knife | Suspects: 3,2021-08-06
Commercial,Night,Thursday,2,None,Yes,10,50,No,Assault,28.61406080895448,77.21231909453581,Type: Assault | Location: Commercial | Time: Night | Weapon: None | Suspects: 2,2021-10-12
Parking Lot,Evening,Wednesday,2,None,Yes,5,30,Yes,Theft,28.60054466240633,77.20481900230213,Type: Theft | Location: Parking Lot | Time: Evening | Weapon: None | Suspects: 2,2018-07-17
Residential,Morning,Monday,4,Knife,No,4,55,No,Theft,28.61579685369153,77.19983949088538,Type: Theft | Location: Residential | Time: Morning | Weapon: Knife | Suspects: 4,2020-02-17
Street,Night,Wednesday,1,None,No,2,32,No,Vandalism,28.61015271699064,77.2289710773205,Type: Vandalism | Location: Street | Time: Night | Weapon: None | Suspects: 1,2019-07-17
Commercial,Evening,Tuesday,5,Gun,Yes,7,28,No,Theft,28.61253795211901,77.20948044812144,Type: Theft | Location: Commercial | Time: Evening | Weapon: Gun | Suspects: 5,2017-10-12
Alley,Afternoon,Tuesday,2,Gun,Yes,8,22,Yes,Burglary,28.604890351766525,77.19897211359734,Type: Burglary | Location: Alley | Time: Afternoon | Weapon: Gun | Suspects: 2,2016-10-24
Parking Lot,Morning,Saturday,1,Gun,Yes,8,59,No,Assault,28.60361480130172,77.19726867628512,Type: Assault | Location: Parking Lot | Time: Morning | Weapon: Gun | Suspects: 1,2022-03-16
Alley,Night,Wednesday,1,Knife,No,3,26,No,Vandalism,28.59556616895713,77.20442807432136,Type: Vandalism | Location: Alley | Time: Night | Weapon: Knife | Suspects: 1,2021-05-01
Alley,Morning,Tuesday,2,None,No,9,23,No,Robbery,28.599435291642266,77.20253684448274,Type: Robbery | Location: Alley | Time: Morning | Weapon: None | Suspects: 2,2020-01-10
Parking Lot,Night,Wednesday,3,None,Yes,3,34,Yes,Homicide,28.595852258884047,77.19742148074438,Type: Homicide | Location: Parking Lot | Time: Night | Weapon: None | Suspects: 3,2017-12-03
Parking Lot,Evening,Thursday,3,None,No,4,46,No,Homicide,28.60249404152536,77.19706162506874,Type: Homicide | Location: Parking Lot | Time: Evening | Weapon: None | Suspects: 3,2016-04-13
Residential,Afternoon,Friday,4,Gun,Yes,8,32,Yes,Vandalism,28.62489074703112,77.20093718070316,Type: Vandalism | Location: Residential | Time: Afternoon | Weapon: Gun | Suspects: 4,2018-08-07
Residential,Afternoon,Thursday,3,Blunt Object,No,7,60,No,Homicide,28.620127440407924,77.19600648888016,Type: Homicide | Location: Residential | Time: Afternoon | Weapon: Blunt Object | Suspects: 3,2016-08-29
Alley,Evening,Friday,4,Gun,Yes,1,23,Yes,Vandalism,28.602222561834257,77.19869852429645,Type: Vandalism | Location: Alley | Time: Evening | Weapon: Gun | Suspects: 4,2021-03-19
Park,Night,Monday,3,None,No,1,47,No,Burglary,28.565108036047548,77.21081630901476,Type: Burglary | Location: Park | Time: Night | Weapon: None | Suspects: 3,2022-01-04
Parking Lot,Afternoon,Wednesday,2,Gun,No,2,44,No,Assault,28.60388489410079,77.19648230433943,Type: Assault | Location: Parking Lot | Time: Afternoon | Weapon: Gun | Suspects: 2,2019-09-15
Street,Morning,Saturday,3,Gun,No,7,53,Yes,Vandalism,28.607257952706703,77.22640038276948,Type: Vandalism | Location: Street | Time: Morning | Weapon: Gun | Suspects: 3,2017-08-07
Commercial,Morning,Sunday,2,Blunt Object,Yes,3,55,Yes,Theft,28.615049789124857,77.20475908774706,Type: Theft | Location: Commercial | Time: Morning | Weapon: Blunt Object | Suspects: 2,2016-07-04
Park,Morning,Monday,2,Gun,Yes,7,41,Yes,Burglary,28.568004998088192,77.2050881498952,Type: Burglary | Location: Park | Time: Morning | Weapon: Gun | Suspects: 2,2018-04-25
Park,Morning,Thursday,5,Blunt Object,Yes,0,31,Yes,Burglary,28.56550205969433,77.20911312033297,Type: Burglary | Location: Park | Time: Morning | Weapon: Blunt Object | Suspects: 5,2024-05-15
Parking Lot,Night,Thursday,2,None,Yes,1,34,No,Burglary,28.59663524941491,77.20382860764578,Type: Burglary | Location: Parking Lot | Time: Night | Weapon: None | Suspects: 2,2018-07-11
Commercial,Afternoon,Tuesday,5,Blunt Object,Yes,7,49,No,Robbery,28.614793904838315,77.20421513368004,Type: Robbery | Location: Commercial | Time: Afternoon | Weapon: Blunt Object | Suspects: 5,2018-01-04
Commercial,Afternoon,Sunday,4,Knife,Yes,5,43,Yes,Vandalism,28.610654270253047,77.2046919897356,Type: Vandalism | Location: Commercial | Time: Afternoon | Weapon: Knife | Suspects: 4,2022-10-26
Residential,Afternoon,Monday,3,Gun,No,8,55,Yes,Assault,28.62388177174556,77.20084652668001,Type: Assault | Location: Residential | Time: Afternoon | Weapon: Gun | Suspects: 3,2015-07-14
Parking Lot,Afternoon,Wednesday,4,None,No,3,16,Yes,Burglary,28.597213908242843,77.2043994631743,Type: Burglary | Location: Parking Lot | Time: Afternoon | Weapon: None | Suspects: 4,2018-01-20
Park,Evening,Monday,4,Gun,No,2,52,No,Robbery,28.56327372196752,77.20510780722724,Type: Robbery | Location: Park | Time: Evening | Weapon: Gun | Suspects: 4,2024-06-27
Commercial,Evening,Saturday,3,Gun,No,1,46,No,Robbery,28.61572819963809,77.20487204062398,Type: Robbery | Location: Commercial | Time: Evening | Weapon: Gun | Suspects: 3,2017-01-25
Park,Afternoon,Wednesday,5,Blunt Object,Yes,6,23,Yes,Burglary,28.565861197571525,77.20530545256061,Type: Burglary | Location: Park | Time: Afternoon | Weapon: Blunt Object | Suspects: 5,2020-07-08
Park,Evening,Tuesday,3,Gun,Yes,1,50,Yes,Theft,28.572487135385984,77.21391237982901,Type: Theft | Location: Park | Time: Evening | Weapon: Gun | Suspects: 3,2020-10-26
Commercial,Morning,Monday,1,None,No,0,51,Yes,Theft,28.60993602465299,77.20890121800721,Type: Theft | Location: Commercial | Time: Morning | Weapon: None | Suspects: 1,2021-03-16
Street,Afternoon,Sunday,4,Blunt Object,No,6,30,Yes,Homicide,28.612003647856408,77.22789170081037,Type: Homicide | Location: Street | Time: Afternoon | Weapon: Blunt Object | Suspects: 4,2023-08-11
Street,Night,Saturday,4,Blunt Object,Yes,6,60,No,Homicide,28.609067078449563,77.22981646896822,Type: Homicide | Location: Street | Time: Night | Weapon: Blunt Object | Suspects: 4,2020-03-03
Parking Lot,Morning,Thursday,3,None,Yes,1,19,No,Theft,28.60457262622517,77.19710100593124,Type: Theft | Location: Parking Lot | Time: Morning | Weapon: None | Suspects: 3,2023-01-29
Park,Night,Wednesday,1,Blunt Object,No,4,26,Yes,Vandalism,28.569001061831788,77.2127356229723,Type: Vandalism | Location: Park | Time: Night | Weapon: Blunt Object | Suspects: 1,2016-06-05
Parking Lot,Evening,Monday,1,Knife,No,4,49,Yes,Robbery,28.601546021881703,77.19501091535294,Type: Robbery | Location: Parking Lot | Time: Evening | Weapon: Knife | Suspects: 1,2015-02-18
Park,Night,Friday,1,Blunt Object,Yes,10,17,No,Vandalism,28.564287880090365,77.20572472061765,Type: Vandalism | Location: Park | Time: Night | Weapon: Blunt Object | Suspects: 1,2023-01-14
Alley,Morning,Tuesday,4,Knife,Yes,9,27,Yes,Robbery,28.60384338376304,77.20274900630619,Type: Robbery | Location: Alley | Time: Morning | Weapon: Knife | Suspects: 4,2016-09-26
Residential,Evening,Monday,4,None,Yes,1,31,No,Vandalism,28.622388134544416,77.20183278534552,Type: Vandalism | Location: Residential | Time: Evening | Weapon: None | Suspects: 4,2023-02-04
Parking Lot,Night,Sunday,2,Knife,Yes,10,55,No,Vandalism,28.60137047746862,77.20346643893586,Type: Vandalism | Location: Parking Lot | Time: Night | Weapon: Knife | Suspects: 2,2016-06-12
Alley,Evening,Saturday,2,Knife,No,5,23,No,Burglary,28.598303009996165,77.1997315564232,Type: Burglary | Location: Alley | Time: Evening | Weapon: Knife | Suspects: 2,2018-07-31
Street,Evening,Saturday,5,Gun,Yes,7,41,Yes,Robbery,28.6089742854245,77.22893281757197,Type: Robbery | Location: Street | Time: Evening | Weapon: Gun | Suspects: 5,2020-09-14
Residential,Evening,Saturday,4,None,Yes,8,41,Yes,Vandalism,28.62266451108377,77.19519209821468,Type: Vandalism | Location: Residential | Time: Evening | Weapon: None | Suspects: 4,2016-02-07
Street,Night,Thursday,5,Gun,Yes,7,19,No,Homicide,28.613849695216324,77.22863643659885,Type: Homicide | Location: Street | Time: Night | Weapon: Gun | Suspects: 5,2016-02-18
Residential,Night,Monday,1,Knife,No,3,21,Yes,Assault,28.621781206322417,77.19949595495255,Type: Assault | Location: Residential | Time: Night | Weapon: Knife | Suspects: 1,2015-01-03
Parking Lot,Evening,Tuesday,3,Blunt Object,Yes,6,33,No,Burglary,28.59705674100098,77.19518675751547,Type: Burglary | Location: Parking Lot | Time: Evening | Weapon: Blunt Object | Suspects: 3,2024-01-24
Alley,Night,Thursday,5,None,Yes,3,50,No,Assault,28.60118476636663,77.20388003119413,Type: Assault | Location: Alley | Time: Night | Weapon: None | Suspects: 5,2023-07-19
